"","0.01","0.03","0.05"
"Upper.CI.SL.Diff.Sens",-0.044,-0.081,-0.105
"Upper.CI.SL.Diff.Spec",0.071,0.184,0.224
"Upper.CI.GLM.Diff.Sens",-0.068,-0.102,-0.119
"Upper.CI.GLM.Diff.Spec",0.048,0.197,0.243
"Lower.CI.SL.Diff.Sens",0.031,0,0
"Lower.CI.SL.Diff.Spec",0.212,0.277,0.302
"Lower.CI.GLM.Diff.Sens",0.04,0,-0.013
"Lower.CI.GLM.Diff.Spec",0.244,0.3,0.323
"Upper.p.SL.Diff.Sens",0.79,0.996,1
"Upper.p.SL.Diff.Spec",0,0,0
"Upper.p.GLM.Diff.Sens",0.784,0.974,0.998
"Upper.p.GLM.Diff.Spec",0.012,0,0
"Lower.p.SL.Diff.Sens",0.718,0.23,0.082
"Lower.p.SL.Diff.Spec",1,1,1
"Lower.p.GLM.Diff.Sens",0.418,0.126,0.032
"Lower.p.GLM.Diff.Spec",0.99,1,1
